T	I	Q
637	0.031156902132691903	0.002217466375108779
638	0.031248203184293378	0.0023631776360125514
639	0.031181908590767853	0.0025217355932458303
640	0.03097168946518432	0.0026215367111653903
641	0.030777037546743668	0.002704521076045057
642	0.03097366112822492	0.0029043811959098094
643	0.030506308288541187	0.0029155041411206184
644	0.030502557319829794	0.0030968984074657784
645	0.030385020096966763	0.003167022503172484
646	0.030205117866847285	0.0032571054651787563
647	0.029790766352453646	0.0032971589262124324
648	0.029688727637672854	0.003487083724668628
649	0.02946471374071116	0.0035710249750118238
650	0.029134917030163344	0.0037128883347962984
651	0.028982618082612318	0.0037702200255473146
652	0.028819808178782113	0.0038869871977847653
653	0.02851379508303071	0.003971905692856672
654	0.02853590931065337	0.004161009334283881
655	0.028036638887392475	0.004139353862552525
656	0.02791469118483583	0.004322057908291026
657	0.02745402963365923	0.004413871407837723
658	0.027198956891378474	0.004503235009140917
659	0.0269808167641022	0.0046810528312358655
660	0.026692658554213267	0.0046843849643038995
661	0.026263777188492533	0.0048317453256873704
662	0.02588655064647319	0.004798871898841026
663	0.025545872004718695	0.004916175198394921
664	0.025299654571355495	0.0051007319372649365
665	0.025027304015321716	0.005289855937957327
666	0.024686742161970324	0.005327635947712406
667	0.024196924729454623	0.005268078310634882
668	0.023834070030922885	0.005475641019159957
669	0.023508333434859377	0.005602954290761408
670	0.023109933842348256	0.00568988835308628
671	0.022703943003635506	0.005632909556265077
672	0.02234769028483206	0.005830964487950405
673	0.021946254193840286	0.005837126558878663
674	0.02154358838966291	0.005722402099581086
675	0.021065841382103098	0.005926211916891043
676	0.020707232285519423	0.006032928398550575
677	0.020194778512520134	0.006076585449521371
678	0.01977832480687066	0.006139604161679745
679	0.01929796723500622	0.006307439157414046
680	0.018898241750624583	0.0061502859894782885
681	0.01836195627348643	0.006176495150188566
682	0.017987807449384125	0.0062392899104299435
683	0.017603127059284452	0.006284324605011352
684	0.017151547523925545	0.006054862113572744
685	0.016580253005481063	0.006249299882477499
686	0.016089528745364807	0.006334286241766677
687	0.015645093912313314	0.0062399481933374775
688	0.01511020302610632	0.006270222420662322
689	0.01461084329406658	0.006395099366863724
690	0.014237828004464973	0.006255780915226933
691	0.013659759758640576	0.006342314578669903
692	0.01313568210457961	0.006330560496238468
693	0.012778790484512137	0.0062404911070756495
694	0.012299490878181678	0.006153753850980865
695	0.011727055955330433	0.006053219799514772
696	0.011336728502445477	0.00598864699678088
697	0.010768717799099978	0.005965885338307999
698	0.010212846219771018	0.005894716133655311
699	0.009730352107120416	0.005918719707304262
700	0.009383153924510407	0.005719287132008321
701	0.008392108145505336	0.006021092879058415
702	0.008320434415531054	0.005610242907696374
703	0.007707721233421762	0.005545323997454397
704	0.0073015174276210015	0.005376063853157393
705	0.00671537704217044	0.0053592606729609546
706	0.006479615605837898	0.00503535833676724
707	0.0057500041021296055	0.005083949116333679
708	0.005344466677217133	0.004915150448714121
709	0.004761074254192499	0.0048083118114635
710	0.004271387349892029	0.004641847672918084
711	0.003774267207229423	0.004530801454196626
712	0.0033449461675205384	0.004327093433212576
713	0.0027237005620787385	0.004268214438307769
714	0.002356105628362275	0.003932211912174534
715	0.0018125792702317995	0.003850591618062026
716	0.0014106073265669693	0.0036047127724654275
717	0.0009856418073031818	0.003406474607393466
718	0.0006490301499390626	0.0031190492879832163
719	-0.00014938346300841658	0.0030563834697546555
720	-0.00036367644288839074	0.002722444015826477
721	-0.0009082195471164596	0.0025958501049281038
722	-0.001451471109004342	0.002335543326739571
723	-0.001652230373936618	0.002002716845974646
724	-0.0022582591374448384	0.0018263038131772192
725	-0.002603739843538642	0.0016232744343658851
726	-0.00299945330277842	0.0012998471476930718
727	-0.0032592044510893173	0.000982744806069968
728	-0.003918193320451246	0.0008083541269472335
729	-0.004389551315370772	0.0005468868706433568
730	-0.004581152995518641	0.00016215105008741376
731	-0.004990633746512321	-0.00013349262603442184
732	-0.005412796344101662	-0.0004207822170101281
733	-0.00530324882199202	-0.0008779902351903729
734	-0.0060015198142325974	-0.0011056678977147385
735	-0.006569063363965688	-0.0013600297704702824
736	-0.006786921825093305	-0.0016603085726317659
737	-0.007183356624469888	-0.0020339689529289898
738	-0.0076811225383025886	-0.0022823519881429092
739	-0.007789151811171905	-0.0027310091149469373
740	-0.008337081779089931	-0.003047677125579503
741	-0.008713236615763162	-0.003491556611487613
742	-0.00885104693142348	-0.0038176509618991984
743	-0.008978861533759482	-0.00423697038757673
744	-0.009369367604202126	-0.0045540727291998335
745	-0.009835538820042712	-0.004872586646542186
746	-0.009840361494100216	-0.005282886917744326
747	-0.010081419628008735	-0.005683326518176909
748	-0.008545707086466427	-0.001580147359190596
749	-0.008202520928998274	-0.0017172602237660612
750	-0.008633270909168642	-0.0029689682063879447
751	-0.009203067788090994	-0.003422816945813247
752	-0.008990327406981668	-0.003795778324672574
753	-0.009498336350757017	-0.004514989726473141
754	-0.009791543941603595	-0.00498519374226089
755	-0.010301998571938021	-0.005397665668415721
756	-0.010235422312263836	-0.005854391850653337
757	-0.010390936375853197	-0.006249124070413382
758	-0.010245081400190975	-0.006613364897353312
759	-0.010482093159427313	-0.006955040872050449
760	-0.010355803676237701	-0.007392853296934482
761	-0.010541160611772647	-0.007816712838747481
762	-0.010723996291781805	-0.00815964430146414
763	-0.010456159264032613	-0.00851639291881729
764	-0.010539676712062646	-0.008983739851057907
765	-0.01043897075905843	-0.009291375134371628
